"","course_id","teacher_id","question_no","no_participants","resp_share","SET_score_avg","percent_failed_cur","academic_degree","seniority","sex"
"1","0000-BHP","54655","901",255,0.211764705882353,4.22222222222222,0,"no_dgr","4","male"
"2","0000-BHP","54655","903",255,0.207843137254902,3.67924528301887,0,"no_dgr","4","male"
"3","0000-BHP","54655","904",255,0.211764705882353,3.74074074074074,0,"no_dgr","4","male"
"4","0000-BHP","54655","905",255,0.207843137254902,3.30188679245283,0,"no_dgr","4","male"
"5","0000-BHP","54655","907",255,0.207843137254902,3.67924528301887,0,"no_dgr","4","male"
"6","0000-BW-NP","3432","902",998,0.0410821643286573,4.04878048780488,0.0722980450018443,"ma","11","male"
"7","0000-BW-NP","3432","903",998,0.0420841683366733,3.95238095238095,0.0722980450018443,"ma","11","male"
"8","0000-BW-NP","3432","906",998,0.0410821643286573,4.14634146341463,0.0722980450018443,"ma","11","male"
"9","0000-BW-NP","3432","909",998,0.0410821643286573,4.07317073170732,0.0722980450018443,"ma","11","male"
"10","0000-BW-NP","3773","901",1003,0.0538384845463609,4.05555555555556,0.0722980450018443,"ma","11","male"
"11","0000-BW-NP","3773","904",1003,0.0528414755732802,3.88679245283019,0.0722980450018443,"ma","11","male"
"12","0000-BW-NP","3773","907",1003,0.0538384845463609,3.88888888888889,0.0722980450018443,"ma","11","male"
"13","0000-BW-NP","3773","908",1003,0.0548354935194417,3.96363636363636,0.0722980450018443,"ma","11","male"
"14","0000-BW-NP","3773","909",1003,0.0528414755732802,3.88679245283019,0.0722980450018443,"ma","11","male"
"15","0000-BW-NP","54655","901",998,0.165330661322645,4.26666666666667,0.0722980450018443,"no_dgr","4","male"
"16","0000-BW-NP","54655","902",998,0.165330661322645,3.64848484848485,0.0722980450018443,"no_dgr","4","male"
"17","0000-BW-NP","54655","903",998,0.164328657314629,3.76829268292683,0.0722980450018443,"no_dgr","4","male"
"18","0000-BW-NP","54655","904",998,0.166332665330661,3.80722891566265,0.0722980450018443,"no_dgr","4","male"
"19","0000-BW-NP","54655","907",998,0.163326653306613,3.85889570552147,0.0722980450018443,"no_dgr","4","male"
"20","0000-BW-NP","54655","908",998,0.162324649298597,4.07407407407407,0.0722980450018443,"no_dgr","4","male"
"21","0000-BW-NP","54655","909",998,0.165330661322645,3.95757575757576,0.0722980450018443,"no_dgr","4","male"
"22","0000-BW-SP","3432","901",596,0.0402684563758389,4.375,0.00912921348314606,"ma","11","male"
"23","0000-BW-SP","3432","903",596,0.0402684563758389,4.20833333333333,0.00912921348314606,"ma","11","male"
"24","0000-BW-SP","3432","904",596,0.0402684563758389,4.375,0.00912921348314606,"ma","11","male"
"25","0000-BW-SP","3432","908",596,0.0402684563758389,4.41666666666667,0.00912921348314606,"ma","11","male"
"26","0000-BW-SP","4299","901",594,0.0471380471380471,4.17857142857143,0.00912921348314606,"dr","10","male"
"27","0000-BW-SP","4299","902",594,0.0454545454545454,4.11111111111111,0.00912921348314606,"dr","10","male"
"28","0000-BW-SP","4299","904",594,0.0454545454545454,3.96296296296296,0.00912921348314606,"dr","10","male"
"29","0000-BW-SP","4299","905",594,0.0454545454545454,3.55555555555556,0.00912921348314606,"dr","10","male"
"30","0000-BW-SP","4299","906",594,0.0454545454545454,4.18518518518519,0.00912921348314606,"dr","10","male"
"31","0000-BW-SP","4299","907",594,0.0454545454545454,4.11111111111111,0.00912921348314606,"dr","10","male"
"32","0000-BW-SP","4299","909",594,0.0454545454545454,4.18518518518519,0.00912921348314606,"dr","10","male"
"33","0000-BW-SP","54655","901",591,0.2165820642978,4.3046875,0.00912921348314606,"no_dgr","4","male"
"34","0000-BW-SP","54655","902",591,0.214890016920474,3.64566929133858,0.00912921348314606,"no_dgr","4","male"
"35","0000-BW-SP","54655","903",591,0.22165820642978,3.85496183206107,0.00912921348314606,"no_dgr","4","male"
"36","0000-BW-SP","54655","904",591,0.219966159052453,4.03076923076923,0.00912921348314606,"no_dgr","4","male"
"37","0000-BW-SP","54655","906",591,0.219966159052453,4.12307692307692,0.00912921348314606,"no_dgr","4","male"
"38","0000-BW-SP","54655","907",591,0.2165820642978,3.90625,0.00912921348314606,"no_dgr","4","male"
"39","0000-BW-SP","54655","909",591,0.213197969543147,3.97619047619048,0.00912921348314606,"no_dgr","4","male"
"40","0000-IIC","4299","901",132,0.0909090909090909,4.75,0.00970873786407766,"dr","10","male"
"41","0000-IIC","4299","902",132,0.0909090909090909,4.41666666666667,0.00970873786407766,"dr","10","male"
